"","SchoolName","City","State","District","Award","Model"
"1","HOGARTH KINGEEKUK MEMORIAL SCHOOL","SAVOONGA","AK","BERING STRAIT SCHOOL DISTRICT",366,"Transformation"
"2","AKIACHAK SCHOOL","AKIACHAK","AK","YUPIIT SCHOOL DISTRICT",397,"Transformation"
"3","GAMBELL SCHOOL","GAMBELL","AK","BERING STRAIT SCHOOL DISTRICT",355,"Transformation"
"4","BURCHELL HIGH SCHOOL","WASILLA","AK","MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT",470,"Transformation"
"5","AKIAK SCHOOL","AKIAK","AK","YUPIIT SCHOOL DISTRICT",318,"Transformation"
"6","MIDVALLEY HIGH","WASILLA","AK","MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT",505,"Restart"
"7","TULUKSAK SCHOOL","TULUKSAK","AK","YUPIIT SCHOOL DISTRICT",337,"Transformation"
"8","CAPITOL HEIGHTS JR HIGH SCH","MONTGOMERY","AL","MONTGOMERY COUNTY",34,"Transformation"
"9","LOWNDES CO MIDDLE SCH","FORT DEPOSIT","AL","LOWNDES COUNTY",86,"Transformation"
"10","CENTRAL MIDDLE SCH","ROCKFORD","AL","COOSA COUNTY",219,"Transformation"
"11","BELLINGRATH JR HIGH SCH","MONTGOMERY","AL","MONTGOMERY COUNTY",142,"Transformation"
"12","HAYNEVILLE MIDDLE SCH","HAYNEVILLE","AL","LOWNDES COUNTY",65,"Transformation"
"13","SOUTHLAWN MIDDLE SCH","MONTGOMERY","AL","MONTGOMERY COUNTY",615,"Transformation"
"14","CONTINUOUS LEARNING CTR","MOBILE","AL","MOBILE COUNTY",215,"Transformation"
"15","JACKSON-STEELE ELEM SCH","HAYNEVILLE","AL","LOWNDES COUNTY",55,"Transformation"
"16","MCINTYRE MIDDLE SCH","MONTGOMERY","AL","MONTGOMERY COUNTY",109,"Transformation"
"17","JOHN ESSEX HIGH SCH","DEMOPOLIS","AL","MARENGO COUNTY",121,"Transformation"
"18","CALHOUN HIGH SCH","LETOHATCHEE","AL","LOWNDES COUNTY",138,"Transformation"
"19","OSCEOLA MIDDLE SCHOOL","OSCEOLA","AR","OSCEOLA SCHOOL DISTRICT",486,"Transformation"
"20","HALL HIGH SCHOOL","LITTLE ROCK","AR","LITTLE ROCK SCHOOL DISTRICT",213,"Transformation"
